scenario,strategy,run_id,time_ns,date,equity_usdt,starting_equity_usdt,net_pnl_usdt,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,spot_realized_pnl_usdt,spot_unrealized_pnl_usdt,futures_realized_pnl_usdt,futures_unrealized_pnl_usdt,reconciliation_residual_usdt,daily_return,capital_deployed_usdt,capital_utilization,gross_exposure_usdt,collateral_usdt,free_cash_usdt,debt_usdt,balance_residual_usdt,partial_day,maintenance_usdt,maintenance_to_balance_max,active_margin_positions,margin_reason
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1785974399999999999,2026-08-05,11660.43088417638931893299999,11660.07296070204001647549999,0.35792347434930245750000,58.844747824500000000000000,-58.740575003000000000000000000,0.2537506528493024575,0E-10,0,0E-26,0E-24,58.844747824500000000000000,0E-24,-58.740575003000000000000000000,0E-27,0.0000306965038345482431219927377520887894322073493,7995.429124388539751586426695,0.68568899415532023292489471166550699489758153437298,8239.2661498215000000,3874.666549570039751586426695,9.299140010986177276200000000,0E-27,-2.520E-24,False,21.599873237519500,0.003089146071134844681730655781,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1786060799999999999,2026-08-06,11660.70486066752114996799999,11660.43088417638931893299999,0.27397649113183103500000,-15.813394543500000000000000,15.725025003000000000000000000,0.3623460316318310350,0E-10,0,0E-26,0E-24,-15.813394543500000000000000,0E-24,15.725025003000000000000000000,0E-27,0.0000234962578873158685988899537405260314026189140,7979.615729845039751586426695,0.68431675659341264240546261013685613535805976678499,8207.7277302750000000,3874.666549570039751586426695,9.661486042618008311200000000,0E-27,-2.520E-24,False,21.525668575000000,0.003059612411464382222312308525,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1786147199999999999,2026-08-07,11661.26077881815499017559999,11660.70486066752114996799999,0.55591815063384020760000,30.245506083000000000000000,-30.098608333500000000000000000,0.4090204011338402076,0E-10,0,0E-26,0E-24,30.245506083000000000000000,0E-24,-30.098608333500000000000000000,0E-27,0.0000476744894306514913019687092410827549211767567,8009.861235928039751586426695,0.68687780745606675821956056550071911611491427307620,8268.0718446915000000,3874.666549570039751586426695,10.07050644375184851880000000,0E-27,-2.520E-24,False,21.672869529167750,0.003110847411053699615511470098,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1786233599999999999,2026-08-08,11661.36731605079572402259999,11661.26077881815499017559999,0.10653723264073384700000,4.079914407500000000000000,-4.527291666500000000000000000,0.5539144916407338470,0E-10,0,0E-26,0E-24,4.079914407500000000000000,0E-24,-4.527291666500000000000000000,0E-27,0.0000091359960695031449562109547667074634994218640,8013.941150335539751586426695,0.68722139806925466398778133689980859746420743724168,8276.6790507655000000,3874.666549570039751586426695,10.62442093539258236580000000,0E-27,-2.520E-24,False,21.698840925000000,0.003114531259630092974022050480,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1786319999999999999,2026-08-09,11662.42897635294927790639999,11661.36731605079572402259999,1.06166030215355388380000,-8.686579851000000000000000,9.053650000000000000000000000,0.6945901531535538838,0E-10,0,0E-26,0E-24,-8.686579851000000000000000,0E-24,9.053650000000000000000000000,0E-27,0.0000910408079413017436629571910038197048683196882,8005.254570484539751586426695,0.68641400403948495819039830808201567247096449688657,8258.9388209145000000,3874.666549570039751586426695,11.31901108854613624960000000,0E-27,-2.520E-24,False,21.644808200000000,0.003109398794214768083202687303,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1786406399999999999,2026-08-10,11662.73013436371735327979999,11662.42897635294927790639999,0.30115801076807537340000,-70.022047043500000000000000,69.699700000000000000000000000,0.6235050542680753734,0E-10,0,0E-26,0E-24,-70.022047043500000000000000,0E-24,69.699700000000000000000000000,0E-27,0.0000258229234560580265190162973051425003969667733,7935.232523441039751586426695,0.68039236371081149135897028081903241425724220459629,8119.2170738710000000,3874.666549570039751586426695,11.94251614281421162300000000,0E-27,-2.520E-24,False,21.266088150000000,0.003031115348850260777229282015,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1786492799999999999,2026-08-11,11663.17905303595806557639999,11662.73013436371735327979999,0.44891867224071229660000,-1.058962723000000000000000,0.994717839890000000000000000,0.5131635553507122966,0E-10,0,0E-26,0E-24,-1.058962723000000000000000,0E-24,0.994717839890000000000000000,0E-27,0.0000384917311014505367479355799296541532653369082,7934.173560718039751586426695,0.68027537986332741974644627402291899593038843423921,8117.1633933081100000,3874.666549570039751586426695,12.45567969816492391960000000,0E-27,-2.520E-24,False,21.288553841142315,0.003001108511596847800160648843,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1786579199999999999,2026-08-12,11663.87943101209586335959999,11663.17905303595806557639999,0.70037797613779778320000,-6.821559078000000000000000,6.542661957230000000000000000,0.9792750969077977832,0E-10,0,0E-26,0E-24,-6.821559078000000000000000,0E-24,6.542661957230000000000000000,0E-27,0.0000600503493046767074100424263984976096614868394,7927.352001640039751586426695,0.67964968675539276515717942086816871293687545508846,8103.7991722728800000,3874.666549570039751586426695,13.43495479507272170280000000,0E-27,-2.520E-24,False,21.255261755811520,0.002991583842705003477628383326,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1786665599999999999,2026-08-13,11665.17035341103894929579999,11663.87943101209586335959999,1.29092239894308593620000,5.679384664000000000000000,-5.227102380800000000000000000,0.8386401157430859362,0E-10,0,0E-26,0E-24,5.679384664000000000000000,0E-24,-5.227102380800000000000000000,0E-27,0.0001106769327116638645186335063974296880397121368,7933.031386304039751586426695,0.68006134038019633649321446773991489149544368450124,8114.7056593176800000,3874.666549570039751586426695,14.27359491081580763900000000,0E-27,-2.520E-24,False,21.290885305414720,0.002989887549112108480161085056,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1786751999999999999,2026-08-14,11665.32372218419137380969999,11665.17035341103894929579999,0.15336877315242451390000,-17.314399947000000000000000,17.105910139840000000000000000,0.3618585803124245139,0E-10,0,0E-26,0E-24,-17.314399947000000000000000,0E-24,17.105910139840000000000000000,0E-27,0.0000131475810901962184129026253428072698746963016,7915.716986357039751586426695,0.67856813705937318643731779597838685322828477714047,8080.2853492308400000,3874.666549570039751586426695,14.63545349112823215290000000,0E-27,-2.520E-24,False,21.213847149775360,0.002954907857784987767232398379,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1786838399999999999,2026-08-15,11666.35817359425189263769999,11665.32372218419137380969999,1.03445141006051882800000,1.708242921500000000000000,-1.362167729920000000000000000,0.6883762184805188280,0E-10,0,0E-26,0E-24,1.708242921500000000000000,0E-24,-1.362167729920000000000000000,0E-27,0.0000886774713412608372984921495664787804500542945,7917.425229278539751586426695,0.67865439338206816889850708228259071408609961868228,8083.3557598822600000,3874.666549570039751586426695,15.32382970960875098090000000,0E-27,-2.520E-24,False,21.219564570695040,0.002958106101458280838471476160,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1786924799999999999,2026-08-16,11666.37069617968938930819999,11666.35817359425189263769999,0.01252258543749667050000,-13.494501774000000000000000,13.238230173760000000000000000,0.2687941856774966705,0E-10,0,0E-26,0E-24,-13.494501774000000000000000,0E-24,13.238230173760000000000000000,0E-27,0.0000010733928490075344755947001993819588635334365,7903.930727504539751586426695,0.67749696399521991803747893452663679977819777328775,8056.6230279345000000,3874.666549570039751586426695,15.59262389528624765140000000,0E-27,-2.520E-24,False,21.149008525000000,0.002942338076217431910161559495,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1787011199999999999,2026-08-17,11666.84764249260722021379999,11666.37069617968938930819999,0.47694631291783090560000,93.936429260500000000000000,-94.195566670500000000000000000,0.7360837229178309056,0E-10,0,0E-26,0E-24,93.936429260500000000000000,0E-24,-94.195566670500000000000000000,0E-27,0.0000408821496709352305919581435556842682647271516,7997.867156765039751586426695,0.68552083663417975042528843740818309906674289581442,8244.7550238655000000,3874.666549570039751586426695,16.32870761820407855700000000,0E-27,-2.520E-24,False,21.627063708358250,0.003081361245771619789012527748,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1787097599999999999,2026-08-18,11667.58629958413616118879999,11666.84764249260722021379999,0.73865709152894097500000,9.152274901500000000000000,-8.930828111470000000000000000,0.5172103014989409750,0E-10,0,0E-26,0E-24,9.152274901500000000000000,0E-24,-8.930828111470000000000000000,0E-27,0.0000633124828714337974387914074574529467772766178,8007.019431666539751586426695,0.68626185622916123119205773663401560599631686282360,8262.8381268784700000,3874.666549570039751586426695,16.84591791970301953200000000,0E-27,-2.520E-24,False,21.672462604126005,0.003094753572081621056818533049,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1787183999999999999,2026-08-19,11667.70447298926213485279999,11667.58629958413616118879999,0.11817340512597366400000,507.114321400000000000000000,-507.680055218030000000000000000,0.6839072231559736640,0E-10,0,0E-26,0E-24,507.114321400000000000000000,0E-24,-507.680055218030000000000000000,0E-27,0.0000101283506366852995787653021618333985019161284,8514.133753066539751586426695,0.72971798118273914605891938092867352421890228864679,9277.6325034965000000,3874.666549570039751586426695,17.52982514285899319600000000,0E-27,-2.520E-24,False,24.604642450000000,0.003510782096903596949082674306,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1787270399999999999,2026-08-20,11669.80235198627027679679999,11667.70447298926213485279999,2.09787899700814194400000,200.360559934000000000000000,-199.652819711330000000000000000,1.3901387743381419440,0E-10,0,0E-26,0E-24,200.360559934000000000000000,0E-24,-199.652819711330000000000000000,0E-27,0.0001798022054693562202837856446257823248057394533,8714.494313000539751586426695,0.74675594754330013215347552891688329382477744012594,9677.6458831418300000,3874.666549570039751586426695,18.91996391719713514000000000,0E-27,-2.520E-24,False,25.603927728848445,0.003879441211032186870774660319,2,
