scenario,comparator,strategy,period,run_id,comparator_run_id,metric,value,comparator_value,delta,reason
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,capital_utilization_daily_max,0.95489695136064988465951677277067404821792009153841,0.95489695136064988465951677277067404821792009153841,0E-50,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,gross_exposure_usdt_daily_mean,1427.100965892637917808219178,1427.100965892637917808219178,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,gross_exposure_usdt_daily_max,13476.0297036588600000,13476.0297036588600000,0E-16,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,collateral_usdt_daily_mean,337.5202026836221136346203025,337.5202026836221136346203025,0E-25,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,collateral_usdt_daily_max,3023.078550207000000000000000,3023.078550207000000000000000,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,debt_usdt_daily_mean,0E-26,0E-26,0E-26,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,debt_usdt_daily_max,0,0,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,orders_submitted,150,150,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,failed_attempts,121,121,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,fills,30,30,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,partial_fills,1,1,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,openings,4,4,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,completed_openings,3,3,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,renewals,23,23,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,rebalances,10,10,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,corrections,0,0,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,close_requests,2,2,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,margin_close_requests,0,0,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,liquidation_fills,0,0,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,blocked_orders,0,0,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,turnover_usdt,35149.6756140,35149.6756140,0E-7,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,invested_seconds,30383820.000,30383820.000,0.000,
