scenario,strategy,run_id,period,symbol,invested_seconds,unhedged_seconds,covered_seconds,cash_seconds,calendar_seconds,invested_fraction,both_covered_seconds
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,full,ETHUSDT,146851020.000,7877940.000,138973080.000,374580.000,147225600,0.9974557413928012519561815336,
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,full,PORTFOLIO,146966280.000,8188440.000,144579240.000,259320.000,147225600,0.9982386215440792905581637976,138662640.000
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2022-2023,BTCUSDT,62812680.000,2197920.000,60614760.000,259320.000,63072000,0.9958885083713850837138508371,
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2022-2023,ETHUSDT,62697420.000,6921480.000,55775940.000,374580.000,63072000,0.9940610730593607305936073059,
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2022-2023,PORTFOLIO,62812680.000,7035060.000,60728280.000,259320.000,63072000,0.9958885083713850837138508371,55662420.000
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2024+,BTCUSDT,84153600.000,499560.000,83654040.000,0.000,84153600,1.000,
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2024+,ETHUSDT,84153600.000,956460.000,83197140.000,0.000,84153600,1.000,
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2024+,PORTFOLIO,84153600.000,1153380.000,83850960.000,0.000,84153600,1.000,83000220.000
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2022,BTCUSDT,31276680.000,284340.000,30992340.000,259320.000,31536000,0.9917770167427701674277016743,
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2022,ETHUSDT,31161420.000,4892220.000,26269200.000,374580.000,31536000,0.9881221461187214611872146119,
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2022,PORTFOLIO,31276680.000,4892700.000,30992760.000,259320.000,31536000,0.9917770167427701674277016743,26268780.000
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2023,BTCUSDT,31536000.000,1913580.000,29622420.000,0.000,31536000,1.000,
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2023,ETHUSDT,31536000.000,2029260.000,29506740.000,0.000,31536000,1.000,
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2023,PORTFOLIO,31536000.000,2142360.000,29735520.000,0.000,31536000,1.000,29393640.000
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2024,BTCUSDT,31622400.000,499020.000,31123380.000,0.000,31622400,1.000,
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2024,ETHUSDT,31622400.000,529020.000,31093380.000,0.000,31622400,1.000,
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2024,PORTFOLIO,31622400.000,725400.000,31319760.000,0.000,31622400,1.000,30897000.000
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2025,BTCUSDT,31536000.000,540.000,31535460.000,0.000,31536000,1.000,
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2025,ETHUSDT,31536000.000,427320.000,31108680.000,0.000,31536000,1.000,
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2025,PORTFOLIO,31536000.000,427860.000,31536000.000,0.000,31536000,1.000,31108140.000
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2026,BTCUSDT,20995200.000,0.000,20995200.000,0.000,20995200,1.000,
