fact_id,source_id,derived_fact_id,tier_index,floor_exclusive_usdt,cap_inclusive_usdt,published_rate,derived_deduction_usdt,maintenance_at_cap,next_formula_at_cap,continuity_checked,boundary_selection_passed
TIERS_MARGBTC25_BTCUSDT_after,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_after_DERIVED,0,0,300000,0.004,0,1200.000,1200.000,True,True
TIERS_MARGBTC25_BTCUSDT_after,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_after_DERIVED,1,300000,800000,0.005,300.000,3700.000,3700.0000,True,True
TIERS_MARGBTC25_BTCUSDT_after,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_after_DERIVED,2,800000,3000000,0.0065,1500.0000,18000.0000,18000.0000,True,True
TIERS_MARGBTC25_BTCUSDT_after,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_after_DERIVED,3,3000000,12000000,0.01,12000.0000,108000.0000,108000.0000,True,True
TIERS_MARGBTC25_BTCUSDT_after,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_after_DERIVED,4,12000000,70000000,0.02,132000.0000,1268000.0000,1268000.0000,True,True
TIERS_MARGBTC25_BTCUSDT_after,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_after_DERIVED,5,70000000,100000000,0.025,482000.0000,2018000.0000,2018000.0000,True,True
TIERS_MARGBTC25_BTCUSDT_after,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_after_DERIVED,6,100000000,230000000,0.05,2982000.0000,8518000.0000,8518000.0000,True,True
TIERS_MARGBTC25_BTCUSDT_after,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_after_DERIVED,7,230000000,480000000,0.1,14482000.0000,33518000.0000,33518000.0000,True,True
TIERS_MARGBTC25_BTCUSDT_after,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_after_DERIVED,8,480000000,600000000,0.125,26482000.0000,48518000.0000,48518000.0000,True,True
TIERS_MARGBTC25_BTCUSDT_after,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_after_DERIVED,9,600000000,800000000,0.15,41482000.0000,78518000.0000,78518000.0000,True,True
TIERS_MARGBTC25_BTCUSDT_after,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_after_DERIVED,10,800000000,1200000000,0.25,121482000.0000,178518000.0000,178518000.0000,True,True
TIERS_MARGBTC25_BTCUSDT_after,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_after_DERIVED,11,1200000000,1800000000,0.5,421482000.0000,478518000.0000,,False,True
TIERS_MARGAUG25_BTCUSDT_before,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_before_DERIVED,0,0,300000,0.004,0,1200.000,1200.000,True,True
TIERS_MARGAUG25_BTCUSDT_before,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_before_DERIVED,1,300000,800000,0.005,300.000,3700.000,3700.0000,True,True
TIERS_MARGAUG25_BTCUSDT_before,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_before_DERIVED,2,800000,3000000,0.0065,1500.0000,18000.0000,18000.0000,True,True
TIERS_MARGAUG25_BTCUSDT_before,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_before_DERIVED,3,3000000,12000000,0.01,12000.0000,108000.0000,108000.0000,True,True
TIERS_MARGAUG25_BTCUSDT_before,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_before_DERIVED,4,12000000,70000000,0.02,132000.0000,1268000.0000,1268000.0000,True,True
TIERS_MARGAUG25_BTCUSDT_before,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_before_DERIVED,5,70000000,100000000,0.025,482000.0000,2018000.0000,2018000.0000,True,True
TIERS_MARGAUG25_BTCUSDT_before,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_before_DERIVED,6,100000000,230000000,0.05,2982000.0000,8518000.0000,8518000.0000,True,True
TIERS_MARGAUG25_BTCUSDT_before,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_before_DERIVED,7,230000000,480000000,0.1,14482000.0000,33518000.0000,33518000.0000,True,True
TIERS_MARGAUG25_BTCUSDT_before,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_before_DERIVED,8,480000000,600000000,0.125,26482000.0000,48518000.0000,48518000.0000,True,True
TIERS_MARGAUG25_BTCUSDT_before,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_before_DERIVED,9,600000000,800000000,0.15,41482000.0000,78518000.0000,78518000.0000,True,True
TIERS_MARGAUG25_BTCUSDT_before,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_before_DERIVED,10,800000000,1200000000,0.25,121482000.0000,178518000.0000,178518000.0000,True,True
TIERS_MARGAUG25_BTCUSDT_before,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_before_DERIVED,11,1200000000,1800000000,0.5,421482000.0000,478518000.0000,,False,True
TIERS_MARGAUG25_BTCUSDT_after,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_after_DERIVED,0,0,300000,0.004,0,1200.000,1200.000,True,True
TIERS_MARGAUG25_BTCUSDT_after,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_after_DERIVED,1,300000,800000,0.005,300.000,3700.000,3700.0000,True,True
TIERS_MARGAUG25_BTCUSDT_after,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_after_DERIVED,2,800000,3000000,0.0065,1500.0000,18000.0000,18000.0000,True,True
TIERS_MARGAUG25_BTCUSDT_after,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_after_DERIVED,3,3000000,12000000,0.01,12000.0000,108000.0000,108000.0000,True,True
TIERS_MARGAUG25_BTCUSDT_after,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_after_DERIVED,4,12000000,70000000,0.02,132000.0000,1268000.0000,1268000.0000,True,True
TIERS_MARGAUG25_BTCUSDT_after,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_after_DERIVED,5,70000000,100000000,0.025,482000.0000,2018000.0000,2018000.0000,True,True
TIERS_MARGAUG25_BTCUSDT_after,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_after_DERIVED,6,100000000,230000000,0.05,2982000.0000,8518000.0000,8518000.0000,True,True
TIERS_MARGAUG25_BTCUSDT_after,MARGAUG25,TIERS_MARGAUG25_BTCUSDT_after_DERIVED,7,230000000,480000000,0.1,14482000.0000,33518000.0000,33518000.0000,True,True
