symbol,year,funding_time,funding_time_utc,funding_rate,rate_available_at,interval_hours,price_method,official_price,previous_closed_mark_price,saved_price,relative_error_bps,mark_open_time,mark_close_time,mark_available_at,mark_age_milliseconds,mark_estimation_method,mark_anchor_open_time,mark_source_file,funding_source_file
ETHUSDT,2022,1656316800000000000,2022-06-27T08:00:00.000000000Z,-0.00004323,1656316860000000000,7.999997777777777777777777778,previous_closed_1m,,1227.21000000,1227.21000000,,1656316740000000000,1656316799999000000,1656316800000000000,1,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656345600016000000,2022-06-27T16:00:00.016000000Z,-0.00003606,1656345660016000000,8.000004444444444444444444444,previous_closed_1m,,1186.77139138,1186.77139138,,1656345540000000000,1656345599999000000,1656345600000000000,17,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656374400016000000,2022-06-28T00:00:00.016000000Z,0.00000902,1656374460016000000,8,previous_closed_1m,,1191.83000000,1191.83000000,,1656374340000000000,1656374399999000000,1656374400000000000,17,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656403200001000000,2022-06-28T08:00:00.001000000Z,-0.00002707,1656403260001000000,7.999995833333333333333333333,previous_closed_1m,,1207.52300023,1207.52300023,,1656403140000000000,1656403199999000000,1656403200000000000,2,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656432000005000000,2022-06-28T16:00:00.005000000Z,0.00006622,1656432060005000000,8.000001111111111111111111111,previous_closed_1m,,1183.18215323,1183.18215323,,1656431940000000000,1656431999999000000,1656432000000000000,6,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656460800000000000,2022-06-29T00:00:00.000000000Z,0.00003172,1656460860000000000,7.999998611111111111111111111,previous_closed_1m,,1143.56000000,1143.56000000,,1656460740000000000,1656460799999000000,1656460800000000000,1,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656489600013000000,2022-06-29T08:00:00.013000000Z,0.00001728,1656489660013000000,8.000003611111111111111111111,previous_closed_1m,,1129.82643101,1129.82643101,,1656489540000000000,1656489599999000000,1656489600000000000,14,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656518400000000000,2022-06-29T16:00:00.000000000Z,0.00001147,1656518460000000000,7.999996388888888888888888889,previous_closed_1m,,1113.94000000,1113.94000000,,1656518340000000000,1656518399999000000,1656518400000000000,1,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656547200000000000,2022-06-30T00:00:00.000000000Z,0.00003467,1656547260000000000,8,previous_closed_1m,,1099.00657180,1099.00657180,,1656547140000000000,1656547199999000000,1656547200000000000,1,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656576000000000000,2022-06-30T08:00:00.000000000Z,-0.00006766,1656576060000000000,8,previous_closed_1m,,1057.38762826,1057.38762826,,1656575940000000000,1656575999999000000,1656576000000000000,1,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
