strategy,symbol,year,funding_time,funding_time_utc,price_method,event_id,short_before,prior_ledger_event_id,prior_ledger_time_ns,p95_abs_bps,base_funding_usdt,known_proxy_delta_usdt,favorable_price,adverse_price,favorable_delta_usdt,adverse_delta_usdt
conditional,ETHUSDT,2024,1719100800000000000,2024-06-23T00:00:00.000000000Z,exact,funding:ETHUSDT:1719100800000000000,0.911,funding:ETHUSDT:1719072000000000000,1719072000000000000,1.135601893930837155781560200,0.2135974747060000000,-6.112810000000E-7,3494.26000000,3494.26000000,0E-19,0E-19
conditional,BTCUSDT,2024,1719129600000000000,2024-06-23T08:00:00.000000000Z,exact,funding:BTCUSDT:1719129600000000000,0.048,funding:BTCUSDT:1719100800000000000,1719100800000000000,0.9387745588475827684944214000,0.0713029104000000000,1.107360000000E-7,64390.00000000,64390.00000000,0E-19,0E-19
conditional,ETHUSDT,2024,1719129600000000000,2024-06-23T08:00:00.000000000Z,exact,funding:ETHUSDT:1719129600000000000,0.911,funding:ETHUSDT:1719100800000000000,1719100800000000000,1.135601893930837155781560200,0.1469369307910881204,-2.85350806388E-8,3510.92535606,3510.92535606,0E-19,0E-19
conditional,BTCUSDT,2024,1719158400000000000,2024-06-23T16:00:00.000000000Z,exact,funding:BTCUSDT:1719158400000000000,0.048,funding:BTCUSDT:1719129600000000000,1719129600000000000,0.9387745588475827684944214000,0.1438078736640000000,-2.244480000000E-7,64071.80000000,64071.80000000,0E-19,0E-19
conditional,ETHUSDT,2024,1719158400000000000,2024-06-23T16:00:00.000000000Z,exact,funding:ETHUSDT:1719158400000000000,0.911,funding:ETHUSDT:1719129600000000000,1719129600000000000,1.135601893930837155781560200,0.1136199287575095030,-3.697674364503E-7,3473.12753030,3473.12753030,0E-19,0E-19
conditional,BTCUSDT,2024,1719187200002000000,2024-06-24T00:00:00.002000000Z,exact,funding:BTCUSDT:1719187200002000000,0.048,funding:BTCUSDT:1719158400000000000,1719158400000000000,0.9387745588475827684944214000,0.2892005424000000000,-4.576320000000E-7,63195.00000000,63195.00000000,0E-19,0E-19
conditional,ETHUSDT,2024,1719187200002000000,2024-06-24T00:00:00.002000000Z,exact,funding:ETHUSDT:1719187200002000000,0.911,funding:ETHUSDT:1719158400000000000,1719158400000000000,1.135601893930837155781560200,0.2390003541742344472,0.0000188295185655528,3419.57059091,3419.57059091,0E-19,0E-19
conditional,BTCUSDT,2024,1719216000000000000,2024-06-24T08:00:00.000000000Z,exact,funding:BTCUSDT:1719216000000000000,0.048,funding:BTCUSDT:1719187200002000000,1719187200002000000,0.9387745588475827684944214000,0.2996817600000000000,-4.800000000000E-7,62433.70000000,62433.70000000,0E-19,0E-19
conditional,ETHUSDT,2024,1719216000000000000,2024-06-24T08:00:00.000000000Z,exact,funding:ETHUSDT:1719216000000000000,0.911,funding:ETHUSDT:1719187200002000000,1719187200002000000,1.135601893930837155781560200,0.3067956480000000000,-9.110000000000E-7,3367.68000000,3367.68000000,0E-19,0E-19
conditional,BTCUSDT,2024,1719244800000000000,2024-06-24T16:00:00.000000000Z,exact,funding:BTCUSDT:1719244800000000000,0.048,funding:BTCUSDT:1719216000000000000,1719216000000000000,0.9387745588475827684944214000,0.2186131783680000000,-3.594240000000E-7,60823.20000000,60823.20000000,0E-19,0E-19
conditional,ETHUSDT,2024,1719244800000000000,2024-06-24T16:00:00.000000000Z,exact,funding:ETHUSDT:1719244800000000000,0.911,funding:ETHUSDT:1719216000000000000,1719216000000000000,1.135601893930837155781560200,0.2213350468290000000,-0.0000067505100000000,3278.79000000,3278.79000000,0E-19,0E-19
conditional,BTCUSDT,2024,1719273600000000000,2024-06-25T00:00:00.000000000Z,exact,funding:BTCUSDT:1719273600000000000,0.048,funding:BTCUSDT:1719244800000000000,1719244800000000000,0.9387745588475827684944214000,0.2154512421600000000,-0.0000290727077263920,60273.50000000,60273.50000000,0E-19,0E-19
conditional,ETHUSDT,2024,1719273600000000000,2024-06-25T00:00:00.000000000Z,exact,funding:ETHUSDT:1719273600000000000,0.911,funding:ETHUSDT:1719244800000000000,1719244800000000000,1.135601893930837155781560200,0.3053672000000000000,-0.0000306406569010000,3352.00000000,3352.00000000,0E-19,0E-19
conditional,BTCUSDT,2024,1719302400000000000,2024-06-25T08:00:00.000000000Z,exact,funding:BTCUSDT:1719302400000000000,0.048,funding:BTCUSDT:1719273600000000000,1719273600000000000,0.9387745588475827684944214000,0.1732158432000000000,-0.0000094232160000000,60660.00000000,60660.00000000,0E-19,0E-19
conditional,ETHUSDT,2024,1719302400000000000,2024-06-25T08:00:00.000000000Z,exact,funding:ETHUSDT:1719302400000000000,0.911,funding:ETHUSDT:1719273600000000000,1719273600000000000,1.135601893930837155781560200,0.3061125843404950000,-0.0000165843404950000,3360.18204545,3360.18204545,0E-19,0E-19
conditional,BTCUSDT,2024,1719331200000000000,2024-06-25T16:00:00.000000000Z,exact,funding:BTCUSDT:1719331200000000000,0.048,funding:BTCUSDT:1719302400000000000,1719302400000000000,0.9387745588475827684944214000,0.2298660249600000000,-3.720960000000E-7,61776.00000000,61776.00000000,0E-19,0E-19
conditional,ETHUSDT,2024,1719331200000000000,2024-06-25T16:00:00.000000000Z,exact,funding:ETHUSDT:1719331200000000000,0.911,funding:ETHUSDT:1719302400000000000,1719302400000000000,1.135601893930837155781560200,0.3114557028638020000,-0.0000180750680990000,3418.83318182,3418.83318182,0E-19,0E-19
conditional,BTCUSDT,2024,1719360000002000000,2024-06-26T00:00:00.002000000Z,exact,funding:BTCUSDT:1719360000002000000,0.048,funding:BTCUSDT:1719331200000000000,1719331200000000000,0.9387745588475827684944214000,0.2965444724085120000,4.268936160000E-7,61780.09841844,61780.09841844,0E-19,0E-19
conditional,ETHUSDT,2024,1719360000002000000,2024-06-26T00:00:00.002000000Z,exact,funding:ETHUSDT:1719360000002000000,0.911,funding:ETHUSDT:1719331200000000000,1719331200000000000,1.135601893930837155781560200,0.3091176634629340000,0.0000091100000000000,3393.16864394,3393.16864394,0E-19,0E-19
conditional,BTCUSDT,2024,1719388800000000000,2024-06-26T08:00:00.000000000Z,exact,funding:BTCUSDT:1719388800000000000,0.051,fill:fill-conditional-00000200-1719360300000000000,1719360300000000000,0.9387745588475827684944214000,0.3146970300000000000,0E-19,61705.30000000,61705.30000000,0E-19,0E-19
conditional,ETHUSDT,2024,1719388800000000000,2024-06-26T08:00:00.000000000Z,exact,funding:ETHUSDT:1719388800000000000,0.911,funding:ETHUSDT:1719360000002000000,1719360000002000000,1.135601893930837155781560200,0.3097950361327690000,0E-19,3400.60412879,3400.60412879,0E-19,0E-19
conditional,BTCUSDT,2024,1719417600000000000,2024-06-26T16:00:00.000000000Z,exact,funding:BTCUSDT:1719417600000000000,0.051,funding:BTCUSDT:1719388800000000000,1719388800000000000,0.9387745588475827684944214000,0.3133450200000000000,-5.100000000000E-7,61440.20000000,61440.20000000,0E-19,0E-19
conditional,ETHUSDT,2024,1719417600000000000,2024-06-26T16:00:00.000000000Z,exact,funding:ETHUSDT:1719417600000000000,0.911,funding:ETHUSDT:1719388800000000000,1719388800000000000,1.135601893930837155781560200,0.3061688800000000000,0.0000173090000000000,3360.80000000,3360.80000000,0E-19,0E-19
conditional,BTCUSDT,2024,1719446400000000000,2024-06-27T00:00:00.000000000Z,exact,funding:BTCUSDT:1719446400000000000,0.051,funding:BTCUSDT:1719417600000000000,1719417600000000000,0.9387745588475827684944214000,0.3103879642595940000,0.0000067901255160000,60860.38514894,60860.38514894,0E-19,0E-19
conditional,ETHUSDT,2024,1719446400000000000,2024-06-27T00:00:00.000000000Z,exact,funding:ETHUSDT:1719446400000000000,0.911,funding:ETHUSDT:1719417600000000000,1719417600000000000,1.135601893930837155781560200,0.3070671680991320000,-8.433646270000E-7,3370.66046212,3370.66046212,0E-19,0E-19
conditional,BTCUSDT,2024,1719475200001000000,2024-06-27T08:00:00.001000000Z,exact,funding:BTCUSDT:1719475200001000000,0.051,funding:BTCUSDT:1719446400000000000,1719446400000000000,0.9387745588475827684944214000,0.3100155132127410000,0E-19,60787.35553191,60787.35553191,0E-19,0E-19
conditional,ETHUSDT,2024,1719475200001000000,2024-06-27T08:00:00.001000000Z,exact,funding:ETHUSDT:1719475200001000000,0.911,funding:ETHUSDT:1719446400000000000,1719446400000000000,1.135601893930837155781560200,0.3074142170000000000,-9.110000000000E-7,3374.47000000,3374.47000000,0E-19,0E-19
conditional,BTCUSDT,2024,1719504000000000000,2024-06-27T16:00:00.000000000Z,exact,funding:BTCUSDT:1719504000000000000,0.051,funding:BTCUSDT:1719475200001000000,1719475200001000000,0.9387745588475827684944214000,0.3140095500000000000,0E-19,61570.50000000,61570.50000000,0E-19,0E-19
conditional,ETHUSDT,2024,1719504000000000000,2024-06-27T16:00:00.000000000Z,exact,funding:ETHUSDT:1719504000000000000,0.911,funding:ETHUSDT:1719475200001000000,1719475200001000000,1.135601893930837155781560200,0.3144777107120660000,-1.690870660000E-7,3452.00560606,3452.00560606,0E-19,0E-19
conditional,BTCUSDT,2024,1719532800000000000,2024-06-28T00:00:00.000000000Z,exact,funding:BTCUSDT:1719532800000000000,0.051,funding:BTCUSDT:1719504000000000000,1719504000000000000,0.9387745588475827684944214000,0.3145782000000000000,5.100000000000E-7,61682.00000000,61682.00000000,0E-19,0E-19
conditional,ETHUSDT,2024,1719532800000000000,2024-06-28T00:00:00.000000000Z,exact,funding:ETHUSDT:1719532800000000000,0.911,funding:ETHUSDT:1719504000000000000,1719504000000000000,1.135601893930837155781560200,0.3143250794207750000,-4.140904950000E-7,3450.33018025,3450.33018025,0E-19,0E-19
conditional,BTCUSDT,2024,1719561600000000000,2024-06-28T08:00:00.000000000Z,exact,funding:BTCUSDT:1719561600000000000,0.051,funding:BTCUSDT:1719532800000000000,1719532800000000000,0.9387745588475827684944214000,0.3127882397255160000,0E-19,61331.02739716,61331.02739716,0E-19,0E-19
