time_ns,date,symbol,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,net_pnl_usdt,strategy,source_run_id
1718236799999999999,2024-06-12,ETHUSDT,52.372013292000000000000000,-52.373291278000000000000000,0.9014528420333590000,0E-9,0,0E-27,0.900174856033359000000000,conditional,run_ad71d751b20623006c195ff3
1718323199999999999,2024-06-13,BTCUSDT,-66.243815555700000000000000,66.058140638250000000000000,0.9110844761170050000,0E-10,0,0E-27,0.725409558667005000000000,conditional,run_ad71d751b20623006c195ff3
1718323199999999999,2024-06-13,ETHUSDT,-75.106362908000000000000000,75.606732280310000000000000,0.8902553358417950000,0E-9,0,0E-27,1.390624708151795000000000,conditional,run_ad71d751b20623006c195ff3
1718409599999999999,2024-06-14,BTCUSDT,-33.290912029300000000000000,34.040429680950000000000000,0.9003501873829800000,0E-10,0,0E-27,1.649867839032980000000000,conditional,run_ad71d751b20623006c195ff3
1718409599999999999,2024-06-14,ETHUSDT,9.080187328000000000000000,-8.546461002310000000000000,0.8848644176164100000,0E-9,0,0E-27,1.418590743306410000000000,conditional,run_ad71d751b20623006c195ff3
1718495999999999999,2024-06-15,BTCUSDT,7.910569170400000000000000,-7.715429680950000000000000,0.8929281408510600000,0E-10,0,0E-27,1.088067630301060000000000,conditional,run_ad71d751b20623006c195ff3
1718495999999999999,2024-06-15,ETHUSDT,77.980693845000000000000000,-77.798870000000000000000000,0.9411534958670730000,-0.334631107,0,0.045247674609278728349246093,0.788346233867073000000000,conditional,run_ad71d751b20623006c195ff3
1718582399999999999,2024-06-16,BTCUSDT,20.464592035100000000000000,-20.326908829950000000000000,0.8962035452234100000,0E-10,0,0E-27,1.033886750373410000000000,conditional,run_ad71d751b20623006c195ff3
1718582399999999999,2024-06-16,ETHUSDT,51.265813241000000000000000,-50.904957162350000000000000,0.9766533047784290000,0E-9,0,0E-27,1.337509383428429000000000,conditional,run_ad71d751b20623006c195ff3
1718668799999999999,2024-06-17,BTCUSDT,-7.986632335500000000000000,8.227717021350000000000000,0.8916629694893550000,0E-10,0,0E-27,1.132747655339355000000000,conditional,run_ad71d751b20623006c195ff3
