period,symbol,scope,filter,state,applied,count,denominator,strategy,source_run_id
2022-2023,ETHUSDT,simultaneous,sizing,fail,True,27,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,simultaneous,sizing,pass,True,2163,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,simultaneous,state_active,fail,True,359,2190,conditional,run_ad71d751b20623006c195ff3
2022-2023,ETHUSDT,simultaneous,state_active,pass,True,1831,2190,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,actual_decision,accepted,selected,True,3,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,actual_decision,funding_not_above_cost,selected,True,2224,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,actual_decision,state_or_cooldown,selected,True,695,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,first_rejection,all_pass,selected,True,3,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,first_rejection,cooldown,selected,True,12,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,first_rejection,funding,selected,True,2224,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,first_rejection,state_active,selected,True,683,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,basis_above_max,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,basis_negative,fail,True,2491,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,basis_negative,pass,True,431,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,budget,fail,True,50,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,budget,not_evaluable,True,260,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,budget,pass,True,2612,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,cooldown,fail,True,12,2922,conditional,run_ad71d751b20623006c195ff3
