period,symbol,kind,cause,purpose,count,strategy,source_run_id
2024-2026-08,BTCUSDT,rebalance_skipped,joint_sizing:insufficient_cash,,51,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,rebalance_skipped,joint_sizing:market_rules,,1,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,renewal,,,135,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,transition,cooldown_elapsed,,5,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,transition,entry,,5,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,transition,margin,,3,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,transition,opening_complete,,4,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,transition,opening_or_second_leg_failed,,1,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,transition,perpetual_closed_waiting_spot,,4,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,transition,real_market_inactivity,,1,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,transition,rebalance_complete,,36,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,transition,renewal_rebalance,,36,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,transition,spot_filled_waiting_hedge,,5,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,transition,unwind_complete,,5,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,attempt_failed,timeout,close_perp,43,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,attempt_failed,timeout,open_spot,1,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,close_requested,margin,,4,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,close_requested,opening_or_second_leg_failed,,1,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,close_requested,real_market_inactivity,,1,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,rebalance_skipped,joint_sizing:insufficient_cash,,48,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,renewal,,,134,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,transition,cooldown_elapsed,,6,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,transition,entry,,6,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,transition,margin,,4,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,transition,opening_complete,,5,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,transition,opening_or_second_leg_failed,,1,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,transition,perpetual_closed_waiting_spot,,5,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,transition,real_market_inactivity,,1,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,transition,rebalance_complete,,46,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,transition,renewal_rebalance,,46,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,transition,spot_filled_waiting_hedge,,5,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,ETHUSDT,transition,unwind_complete,,6,permanent,run_dfea4b7ac1475668d5968c97
