symbol,time_ns,signal_utc,anchor,history_start,horizon_end,horizon_end_utc,forecast,no_change,realized,horizon_valid,realized_funding_events,reason,error_ewma,error_no_change,absolute_error_ewma,absolute_error_no_change
ETHUSDT,1717113660000000000,2024-05-31T00:01:00.000000000Z,1717113600000000000,1715904000000000000,1717718460000000000,2024-06-07T00:01:00.000000000Z,0.003079652504378995490211604129,0.00210000,0.00281135,True,21,,0.000268302504378995490211604129,-0.00071135,0.000268302504378995490211604129,0.00071135
BTCUSDT,1717142460000000000,2024-05-31T08:01:00.000000000Z,1717142400000000000,1715932800000000000,1717747260000000000,2024-06-07T08:01:00.000000000Z,0.002391064220394348916632159308,0.00257628,0.00228214,True,21,,0.000108924220394348916632159308,0.00029414,0.000108924220394348916632159308,0.00029414
ETHUSDT,1717142460000000000,2024-05-31T08:01:00.000000000Z,1717142400000000000,1715932800000000000,1717747260000000000,2024-06-07T08:01:00.000000000Z,0.002911911740997352503007874203,0.00226653,0.00283570,True,21,,0.000076211740997352503007874203,-0.00056917,0.000076211740997352503007874203,0.00056917
BTCUSDT,1717171260000000000,2024-05-31T16:01:00.000000000Z,1717171200000000000,1715961600000000000,1717776060000000000,2024-06-07T16:01:00.000000000Z,0.002331045056652948875329445596,0.00210000,0.00228380,True,21,,0.000047245056652948875329445596,-0.00018380,0.000047245056652948875329445596,0.00018380
ETHUSDT,1717171260000000000,2024-05-31T16:01:00.000000000Z,1717171200000000000,1715961600000000000,1717776060000000000,2024-06-07T16:01:00.000000000Z,0.002844901674755585425913392182,0.00258699,0.00288280,True,21,,-0.000037898325244414574086607818,-0.00029581,0.000037898325244414574086607818,0.00029581
BTCUSDT,1717200060000000000,2024-06-01T00:01:00.000000000Z,1717200000000000000,1715990400000000000,1717804860000000000,2024-06-08T00:01:00.000000000Z,0.002283405366126449063193713902,0.00210000,0.00228380,True,21,,-3.94633873550936806286098E-7,-0.00018380,3.94633873550936806286098E-7,0.00018380
ETHUSDT,1717200060000000000,2024-06-01T00:01:00.000000000Z,1717200000000000000,1715990400000000000,1717804860000000000,2024-06-08T00:01:00.000000000Z,0.003000189810051454404547758805,0.00359751,0.00281149,True,21,,0.000188699810051454404547758805,0.00078602,0.000188699810051454404547758805,0.00078602
BTCUSDT,1717228860000000000,2024-06-01T08:01:00.000000000Z,1717228800000000000,1716019200000000000,1717833660000000000,2024-06-08T08:01:00.000000000Z,0.002245574192590978226035078099,0.00210000,0.00228380,True,21,,-0.000038225807409021773964921901,-0.00018380,0.000038225807409021773964921901,0.00018380
ETHUSDT,1717228860000000000,2024-06-01T08:01:00.000000000Z,1717228800000000000,1716019200000000000,1717833660000000000,2024-06-08T08:01:00.000000000Z,0.002944865028236779521629469372,0.00273189,0.00278140,True,21,,0.000163465028236779521629469372,-0.00004951,0.000163465028236779521629469372,0.00004951
BTCUSDT,1717257660001000000,2024-06-01T16:01:00.001000000Z,1717257600001000000,1716048000000000000,1717862460001000000,2024-06-08T16:01:00.001000000Z,0.002226402218795334375538553870,0.002152499925260419261790997854,0.00228130,True,21,,-0.000054897781204665624461446130,-0.000128800074739580738209002146,0.000054897781204665624461446130,0.000128800074739580738209002146
