method,strategy,symbol,open_time_utc,available_at_utc,spot,short,average,collateral,mark_close,mark_method,runtime_position_match,close_causes,source,balance,maintenance,liquidation_price,ratio,distance,liquidate,preventive
futures_scaled,permanent,BTCUSDT,2022-07-12T13:17:00.000000000Z,2022-07-12T13:18:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19915.42238191,official,False,[],persisted_ledger_and_causal_mark,3293.590082241139999999999999,11.63060667103544,42305.03840801178846258800414,0.003531285430371874016142402964,1.124235057471801384049624334,False,False
futures_scaled,permanent,ETHUSDT,2022-07-12T13:17:00.000000000Z,2022-07-12T13:18:00.000000000Z,0.0000690,0.000,0,0E-24,1075.460130665425779432294090,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,permanent,BTCUSDT,2022-07-12T13:18:00.000000000Z,2022-07-12T13:19:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19898.20000000,official,False,[],persisted_ledger_and_causal_mark,3296.104549999999999999999999,11.62054880000000,42305.03840801178846258800414,0.003525540110673977255970233105,1.126073635203776646258857793,False,False
futures_scaled,permanent,ETHUSDT,2022-07-12T13:18:00.000000000Z,2022-07-12T13:19:00.000000000Z,0.0000690,0.000,0,0E-24,1076.360783992554676593764541,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,permanent,BTCUSDT,2022-07-12T13:19:00.000000000Z,2022-07-12T13:20:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19909.19947294,official,False,[],persisted_ledger_and_causal_mark,3294.498626950759999999999999,11.62697249219696,42305.03840801178846258800414,0.003529208480186365615858056524,1.124899017939498566380372819,False,False
futures_scaled,permanent,ETHUSDT,2022-07-12T13:19:00.000000000Z,2022-07-12T13:20:00.000000000Z,0.0000690,0.000,0,0E-24,1076.881161470451372731503025,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,permanent,BTCUSDT,2022-07-12T13:20:00.000000000Z,2022-07-12T13:21:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19919.50000000,official,False,[],persisted_ledger_and_causal_mark,3292.994749999999999999999999,11.63298800000000,42305.03840801178846258800414,0.003532646992528609406376976460,1.123800216271080522231381518,False,False
futures_scaled,permanent,ETHUSDT,2022-07-12T13:20:00.000000000Z,2022-07-12T13:21:00.000000000Z,0.0000690,0.000,0,0E-24,1076.040551698464402047463937,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,permanent,BTCUSDT,2022-07-12T13:21:00.000000000Z,2022-07-12T13:22:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19907.57458687,official,False,[],persisted_ledger_and_causal_mark,3294.735860316979999999999999,11.62602355873208,42305.03840801178846258800414,0.003528666348874948458154584459,1.125072455381580727656706061,False,False
futures_scaled,permanent,ETHUSDT,2022-07-12T13:21:00.000000000Z,2022-07-12T13:22:00.000000000Z,0.0000690,0.000,0,0E-24,1075.680290367612843182875756,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,permanent,BTCUSDT,2022-07-12T13:52:00.000000000Z,2022-07-12T13:53:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19853.10000000,official,False,[],persisted_ledger_and_causal_mark,3302.689149999999999999999999,11.59421040000000,42305.03840801178846258800414,0.003510536376092191419225754263,1.130903405917050156529106494,False,False
futures_scaled,permanent,ETHUSDT,2022-07-12T13:52:00.000000000Z,2022-07-12T13:53:00.000000000Z,0.0000690,0.000,0,0E-24,1071.779410166643327265088923,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,permanent,BTCUSDT,2022-07-13T06:59:00.000000000Z,2022-07-13T07:00:00.000000000Z,0.15600376,0.156,27731.21858974358974358974358,2164.685650000000000000000000,19529.80000000,official,False,[],persisted_ledger_and_causal_mark,3444.106949999999999999999998,12.18659520000000,41441.64208550413729696598221,0.003538390467229828620740131199,1.121969609801643503618366917,False,False
futures_scaled,permanent,ETHUSDT,2022-07-13T06:59:00.000000000Z,2022-07-13T07:00:00.000000000Z,0.0000690,0.000,0,0E-24,1061.040045263376270674990098,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,permanent,BTCUSDT,2024-08-12T10:02:00.000000000Z,2024-08-12T10:03:00.000000000Z,0.05900933,0.059,60764.90041320200251575671986,1793.739328493475895084933460,58287.89117834583831635668822,futures_scaled,True,[],persisted_ledger_and_causal_mark,1939.882873349989582849535327,13.75594231808961784266017842,90804.04573017074150034742272,0.007091120039806547484267780596,0.5578543655376705721559834126,False,False
