symbol,time_ns,minute_utc,candle_open_utc,spot_close,future_close,mark_close,spot_base_volume,future_base_volume,forecast,forecast_available_at,cycle_cost,complete,eligible,funding_pass,basis_pass,operational,known_closure,forecast_valid,unknown_market_data
ETHUSDT,1717286340000000000,2024-06-01T23:59:00.000000000Z,2024-06-01T23:58:00.000000000Z,3815.94,3817.48,3818.22,51.0691,544.138,0.002838033430576074498005290383,1717257660001000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717286400000000000,2024-06-02T00:00:00.000000000Z,2024-06-01T23:59:00.000000000Z,3815.82,3817.49,3817.56,53.1572,480.864,0.002838033430576074498005290383,1717257660001000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717286460000000000,2024-06-02T00:01:00.000000000Z,2024-06-02T00:00:00.000000000Z,3816.01,3817.29,3817.82041667,167.6592,1120.475,0.002932523365209466665829437700,1717286460000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717315260000000000,2024-06-02T08:01:00.000000000Z,2024-06-02T08:00:00.000000000Z,3792.09,3794.0,3793.97218182,170.6665,1845.144,0.002760791550886062187305666637,1717315260000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717329600000000000,2024-06-02T12:00:00.000000000Z,2024-06-02T11:59:00.000000000Z,3805.01,3806.26,3806.41530303,170.8171,1241.358,0.002760791550886062187305666637,1717315260000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717344060000000000,2024-06-02T16:01:00.000000000Z,2024-06-02T16:00:00.000000000Z,3798.95,3801.51,3801.33363238,79.9889,338.202,0.002624473708636254429495392543,1717344060000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717372740000000000,2024-06-02T23:59:00.000000000Z,2024-06-02T23:58:00.000000000Z,3782.09,3785.04,3785.03,85.4415,233.031,0.002624473708636254429495392543,1717344060000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717372800000000000,2024-06-03T00:00:00.000000000Z,2024-06-02T23:59:00.000000000Z,3780.91,3783.98,3783.63521212,89.3464,1390.652,0.002624473708636254429495392543,1717344060000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717372860000000000,2024-06-03T00:01:00.000000000Z,2024-06-03T00:00:00.000000000Z,3779.94,3782.99,3782.81584848,153.0718,889.629,0.002633341518429934729604002297,1717372860000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717401660000000000,2024-06-03T08:01:00.000000000Z,2024-06-03T08:00:00.000000000Z,3819.01,3821.26,3821.26,122.9716,816.353,0.002774752894252176981245389395,1717401660000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717416000000000000,2024-06-03T12:00:00.000000000Z,2024-06-03T11:59:00.000000000Z,3809.0,3811.61,3811.25735606,25.8032,152.189,0.002774752894252176981245389395,1717401660000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717430460000000000,2024-06-03T16:01:00.000000000Z,2024-06-03T16:00:00.000000000Z,3798.5,3799.93,3799.82720455,516.8272,4528.143,0.002757504825581629115590981847,1717430460000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717459140000000000,2024-06-03T23:59:00.000000000Z,2024-06-03T23:58:00.000000000Z,3767.24,3769.65,3769.49030702,9.1452,154.955,0.002757504825581629115590981847,1717430460000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717459200000000000,2024-06-04T00:00:00.000000000Z,2024-06-03T23:59:00.000000000Z,3767.06,3769.15,3769.15,28.1155,104.076,0.002757504825581629115590981847,1717430460000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717459260000000000,2024-06-04T00:01:00.000000000Z,2024-06-04T00:00:00.000000000Z,3764.6,3766.72,3767.10111722,218.5376,768.924,0.002621879740851243172557618360,1717459260000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717488060000000000,2024-06-04T08:01:00.000000000Z,2024-06-04T08:00:00.000000000Z,3775.91,3778.53,3778.145,157.2495,1188.055,0.002514211008945476924718803071,1717488060000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717502400000000000,2024-06-04T12:00:00.000000000Z,2024-06-04T11:59:00.000000000Z,3764.65,3767.02,3766.89079545,43.2586,458.809,0.002514211008945476924718803071,1717488060000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717516860000000000,2024-06-04T16:01:00.000000000Z,2024-06-04T16:00:00.000000000Z,3814.06,3816.54,3816.55,532.494,3936.668,0.002463404325089223242725652048,1717516860000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717545540000000000,2024-06-04T23:59:00.000000000Z,2024-06-04T23:58:00.000000000Z,3811.19,3814.0,3813.86854545,122.3702,344.538,0.002463404325089223242725652048,1717516860000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717545600000000000,2024-06-05T00:00:00.000000000Z,2024-06-04T23:59:00.000000000Z,3810.23,3813.12,3813.02937121,102.9409,1347.557,0.002463404325089223242725652048,1717516860000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717545660000000000,2024-06-05T00:01:00.000000000Z,2024-06-05T00:00:00.000000000Z,3812.49,3815.18,3814.98254545,202.5997,693.135,0.002690363365868536516376039173,1717545660000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717574460000000000,2024-06-05T08:01:00.000000000Z,2024-06-05T08:00:00.000000000Z,3811.0,3813.06,3812.53893182,153.846,795.08,0.002568557992317839103090578344,1717574460000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717588800000000000,2024-06-05T12:00:00.000000000Z,2024-06-05T11:59:00.000000000Z,3804.31,3806.87,3806.79147727,24.2312,448.766,0.002568557992317839103090578344,1717574460000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717603260000000000,2024-06-05T16:01:00.000000000Z,2024-06-05T16:00:00.000000000Z,3814.34,3817.19,3817.13495455,166.0944,884.705,0.002500446251811736133052609819,1717603260000000000,0.0034,True,False,False,True,True,False,True,False
