symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,fill_id,order_id,market,side,quantity,price,reference_price,trade_id,fee_rate,liquidation,participation,recent_volume_quantity,partial,remaining_quantity,window_start,window_end,slippage_rate,execution_model,window_base_volume,window_quote_volume,max_volume_participation,capacity_used,fill_reason,source_file,window_end_utc,window_start_utc,participation_window_seconds,purpose,rounding_cost,source_run_id
ETHUSDT,conditional,True,1704973620000000000,2024-01-11T11:47:00.000000000Z,fill-conditional-00000151-1704973620000000000,conditional-00000151,futures,BUY,1.306,2658.73,2658.459326999301139059803325,bar:ETHUSDT:futures:1704973560000000000,0.0005,False,0.0002597360238750307765311597711,7323.130,False,0.000,1704973560000000000,1704973620000000000,0.0001,next_minute_vwap,5028.182,13367217.33575,0.01,1.306,full,ETHUSDT-1m-2024-01.zip,2024-01-11T11:47:00.000000000Z,2024-01-11T11:46:00.000000000Z,60,close_perp,0.006304150806603659135647670,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1704973680000000000,2024-01-11T11:48:00.000000000Z,fill-conditional-00000152-1704973680000000000,conditional-00000152,spot,SELL,1.3060,2658.02,2658.294344763398440633855951,bar:ETHUSDT:spot:1704973620000000000,0.001,False,0.001514105293618173715410345721,2104.18990000,False,0.0000,1704973620000000000,1704973680000000000,0.0001,next_minute_vwap,862.55560000,2292926.67352400,0.01,1.3060,full,ETHUSDT-1m-2024-01.zip,2024-01-11T11:48:00.000000000Z,2024-01-11T11:47:00.000000000Z,60,close_spot,0.0111210195722636314690898900,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1704984360000000000,2024-01-11T14:46:00.000000000Z,fill-conditional-00000153-1704984360000000000,conditional-00000153,futures,BUY,0.072,48723.4,48718.52579076127296815113223,bar:BTCUSDT:futures:1704984300000000000,0.0005,False,0.00001123928930851677440514110069,2523.722,False,0.000,1704984300000000000,1704984360000000000,0.0001,next_minute_vwap,6406.099,312095699.34967,0.01,0.072,full,BTCUSDT-1m-2024-01.zip,2024-01-11T14:46:00.000000000Z,2024-01-11T14:45:00.000000000Z,60,close_perp,0.00016967949486512774779152,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1704984420000000000,2024-01-11T14:47:00.000000000Z,fill-conditional-00000154-1704984420000000000,conditional-00000154,spot,SELL,0.07200,48837.11,48841.99876736061818418998276,bar:BTCUSDT:spot:1704984360000000000,0.001,False,0.0001129429020609663902943395559,621.99975000,False,0.00000,1704984360000000000,1704984420000000000,0.0001,next_minute_vwap,637.49026000,31136298.49312440,0.01,0.07200,full,BTCUSDT-1m-2024-01.zip,2024-01-11T14:47:00.000000000Z,2024-01-11T14:46:00.000000000Z,60,close_spot,0.0003288588395128107525907200,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1708329720000000000,2024-02-19T08:02:00.000000000Z,fill-conditional-00000155-1708329720000000000,conditional-00000155,spot,BUY,0.05806,52406.75,52401.50817748701836905329659,bar:BTCUSDT:spot:1708329660000000000,0.001,False,0.002348565841756173884481788502,21.83766000,False,0.00000,1708329660000000000,1708329720000000000,0.0001,next_minute_vwap,24.72147000,1295442.31236450,0.01,0.05806,full,BTCUSDT-1m-2024-02.zip,2024-02-19T08:02:00.000000000Z,2024-02-19T08:01:00.000000000Z,60,open_spot,0.0000970586252238641148765248,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1708329780000000000,2024-02-19T08:03:00.000000000Z,fill-conditional-00000156-1708329780000000000,conditional-00000156,futures,SELL,0.058,52373.9,52379.20386708988658823297468,bar:BTCUSDT:futures:1708329720000000000,0.0005,False,0.0002858705991946335188206359142,132.777,False,0.000,1708329720000000000,1708329780000000000,0.0001,next_minute_vwap,202.889,10627164.29339,0.01,0.058,full,BTCUSDT-1m-2024-02.zip,2024-02-19T08:03:00.000000000Z,2024-02-19T08:02:00.000000000Z,60,open_perp,0.00382490878430077530078004,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1708473720000000000,2024-02-21T00:02:00.000000000Z,fill-conditional-00000157-1708473720000000000,conditional-00000157,spot,BUY,1.0200,3014.23,3013.924626145401329430226889,bar:ETHUSDT:spot:1708473660000000000,0.001,False,0.004574653638172703938731932921,249.54520000,False,0.0000,1708473660000000000,1708473720000000000,0.0001,next_minute_vwap,222.96770000,672007.84186500,0.01,1.0200,full,ETHUSDT-1m-2024-02.zip,2024-02-21T00:02:00.000000000Z,2024-02-21T00:01:00.000000000Z,60,open_spot,0.0040610198238130455666897600,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1708473780000000000,2024-02-21T00:03:00.000000000Z,fill-conditional-00000158-1708473780000000000,conditional-00000158,futures,SELL,1.019,3013.74,3014.050258462601773325306416,bar:ETHUSDT:futures:1708473720000000000,0.0005,False,0.0001861217130065286894108982939,2111.920,False,0.000,1708473720000000000,1708473780000000000,0.0001,next_minute_vwap,5474.912,16501659.92866,0.01,1.019,full,ETHUSDT-1m-2024-02.zip,2024-02-21T00:03:00.000000000Z,2024-02-21T00:02:00.000000000Z,60,open_perp,0.009021652053867897785388815,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1709078640000000000,2024-02-28T00:04:00.000000000Z,fill-conditional-00000159-1709078640000000000,conditional-00000159,futures,BUY,0.070,3245.89,3245.564135333415466789601904,bar:ETHUSDT:futures:1709078580000000000,0.0005,False,0.0001390969823903220293852310798,712.940,False,0.000,1709078580000000000,1709078640000000000,0.0001,next_minute_vwap,503.246,1633317.16885,0.01,0.070,full,ETHUSDT-1m-2024-02.zip,2024-02-28T00:04:00.000000000Z,2024-02-28T00:03:00.000000000Z,60,reduce_perp,0.000091577713583416460339520,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1709078700000000000,2024-02-28T00:05:00.000000000Z,fill-conditional-00000160-1709078700000000000,conditional-00000160,spot,SELL,0.0700,3242.46,3242.791859918564941644462791,bar:ETHUSDT:spot:1709078640000000000,0.001,False,0.001094557235961521622196369823,91.76050000,False,0.0000,1709078640000000000,1709078700000000000,0.0001,next_minute_vwap,63.95280000,207385.61925900,0.01,0.0700,full,ETHUSDT-1m-2024-02.zip,2024-02-28T00:05:00.000000000Z,2024-02-28T00:04:00.000000000Z,60,reduce_spot,0.0005306512801159605208841500,run_ad71d751b20623006c195ff3
