symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,state,snapshot_kind,spot,short,average,collateral,spot_cost,realized_spot,realized_futures,funding,fees,liquidation_fees,slippage,spot_price,mark_price,dust_spot,tradable_spot,mark_available_at_utc,mark_close_time_ns_utc,spot_price_time_ns_utc,mark_age_seconds,mark_available_at,mark_close_time_ns,spot_price_age_seconds,spot_price_time_ns,source_run_id
BTCUSDT,permanent,False,1721779199999999999,2024-07-23T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,618.2802861469404930001,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1721779199999999999,2024-07-23T23:59:59.999999999Z,HOLDING,event,0.9730039,0.973,3298.137971330531966024761926,1604.679797983394981649404313,3207.439425187169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,524.9087298234491703323,73.933287463,0,10.06232784686433251892476144,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1721865599999999999,2024-07-24T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,619.2906924544362120001,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1721865599999999999,2024-07-24T23:59:59.999999999Z,HOLDING,event,0.9730039,0.973,3298.137971330531966024761926,1604.679797983394981649404313,3207.439425187169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,525.6793403807790703323,73.933287463,0,10.06232784686433251892476144,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1721951999999999999,2024-07-25T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,620.2813684845638940001,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1721951999999999999,2024-07-25T23:59:59.999999999Z,HOLDING,event,0.9730039,0.973,3298.137971330531966024761926,1604.679797983394981649404313,3207.439425187169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,526.1062206089994187943,73.933287463,0,10.06232784686433251892476144,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1721952180000000000,2024-07-26T00:03:00.000000000Z,REBALANCING,event,0.9730039,0.973,3298.137971330531966024761926,1604.679797983394981649404313,3207.439425187169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,526.2267445039167187943,73.933287463,0,10.06232784686433251892476144,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1721952240000000000,2024-07-26T00:04:00.000000000Z,REBALANCING,event,1.0500268,0.973,3298.137971330531966024761926,1604.679797983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,526.2267445039167187943,74.178076108,0,10.08689980705421456855982361,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1721952300000000000,2024-07-26T00:05:00.000000000Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,526.2267445039167187943,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1721952300000000000,2024-07-26T00:05:00.000000000Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,526.2267445039167187943,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
