symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,kind,cause,previous,state,order_id,cycle_id,next_expiry_utc,liquidation,next_expiry,purpose,source_run_id
BTCUSDT,permanent,False,1730149440000000000,2024-10-28T21:04:00.000000000Z,attempt_failed,timeout,,,permanent-00000613,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149440000000000,2024-10-28T21:04:00.000000000Z,attempt_failed,timeout,,,permanent-00000614,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149500000000000,2024-10-28T21:05:00.000000000Z,attempt_failed,timeout,,,permanent-00000615,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149500000000000,2024-10-28T21:05:00.000000000Z,attempt_failed,timeout,,,permanent-00000616,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149560000000000,2024-10-28T21:06:00.000000000Z,attempt_failed,timeout,,,permanent-00000617,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149560000000000,2024-10-28T21:06:00.000000000Z,attempt_failed,timeout,,,permanent-00000618,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149620000000000,2024-10-28T21:07:00.000000000Z,attempt_failed,timeout,,,permanent-00000619,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149620000000000,2024-10-28T21:07:00.000000000Z,attempt_failed,timeout,,,permanent-00000620,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149680000000000,2024-10-28T21:08:00.000000000Z,attempt_failed,timeout,,,permanent-00000621,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149680000000000,2024-10-28T21:08:00.000000000Z,attempt_failed,timeout,,,permanent-00000622,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149740000000000,2024-10-28T21:09:00.000000000Z,attempt_failed,timeout,,,permanent-00000623,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149740000000000,2024-10-28T21:09:00.000000000Z,attempt_failed,timeout,,,permanent-00000624,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149800000000000,2024-10-28T21:10:00.000000000Z,attempt_failed,timeout,,,permanent-00000625,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149800000000000,2024-10-28T21:10:00.000000000Z,attempt_failed,timeout,,,permanent-00000626,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149860000000000,2024-10-28T21:11:00.000000000Z,attempt_failed,timeout,,,permanent-00000627,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149860000000000,2024-10-28T21:11:00.000000000Z,attempt_failed,timeout,,,permanent-00000628,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149920000000000,2024-10-28T21:12:00.000000000Z,attempt_failed,timeout,,,permanent-00000629,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149920000000000,2024-10-28T21:12:00.000000000Z,attempt_failed,timeout,,,permanent-00000630,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149980000000000,2024-10-28T21:13:00.000000000Z,attempt_failed,timeout,,,permanent-00000631,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149980000000000,2024-10-28T21:13:00.000000000Z,attempt_failed,timeout,,,permanent-00000632,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730150040000000000,2024-10-28T21:14:00.000000000Z,attempt_failed,timeout,,,permanent-00000633,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730150040000000000,2024-10-28T21:14:00.000000000Z,attempt_failed,timeout,,,permanent-00000634,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730150100000000000,2024-10-28T21:15:00.000000000Z,transition,perpetual_closed_waiting_spot,CLOSING_PERP,CLOSING_SPOT,,BTCUSDT-1709136060000000000,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730150100000000000,2024-10-28T21:15:00.000000000Z,transition,perpetual_closed_waiting_spot,CLOSING_PERP,CLOSING_SPOT,,ETHUSDT-1709251260000000000,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730150160000000000,2024-10-28T21:16:00.000000000Z,transition,unwind_complete,CLOSING_SPOT,COOLDOWN,,BTCUSDT-1709136060000000000,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730150160000000000,2024-10-28T21:16:00.000000000Z,transition,unwind_complete,CLOSING_SPOT,COOLDOWN,,ETHUSDT-1709251260000000000,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730246460000000000,2024-10-30T00:01:00.000000000Z,transition,cooldown_elapsed,COOLDOWN,FLAT,,BTCUSDT-1709136060000000000,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730246460000000000,2024-10-30T00:01:00.000000000Z,transition,entry,FLAT,OPENING_SPOT,permanent-00000639,BTCUSDT-1730246460000000000,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730246460000000000,2024-10-30T00:01:00.000000000Z,transition,cooldown_elapsed,COOLDOWN,FLAT,,ETHUSDT-1709251260000000000,,,,,run_dfea4b7ac1475668d5968c97
