symbol,market,open_time,end_time,available_at,open,high,low,close,base_volume,quote_volume,trade_count,source_file,open_time_utc,source_partition
BTCUSDT,spot,1679661360000000000,1679661420000000000,1679661420000000000,28080.00000000,28080.00000000,28080.00000000,28080.00000000,0.00000000,0.00000000,0,BTCUSDT-1m-2023-03.zip,2023-03-24T12:36:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661360000000000,1679661420000000000,1679661420000000000,1764.03,1772.21,1763.27,1769.27,13331.140,23578076.66163,9457,ETHUSDT-1m-2023-03.zip,2023-03-24T12:36:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679661360000000000,1679661420000000000,1679661420000000000,1789.52000000,1789.52000000,1789.52000000,1789.52000000,0.00000000,0.00000000,0,ETHUSDT-1m-2023-03.zip,2023-03-24T12:36:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661420000000000,1679661480000000000,1679661480000000000,27944.10,28051.70,27944.00,28004.00,1589.589,44513649.02030,10491,BTCUSDT-1m-2023-03.zip,2023-03-24T12:37:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679661420000000000,1679661480000000000,1679661480000000000,28080.00000000,28080.00000000,28080.00000000,28080.00000000,0.00000000,0.00000000,0,BTCUSDT-1m-2023-03.zip,2023-03-24T12:37:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661420000000000,1679661480000000000,1679661480000000000,1769.27,1775.48,1769.08,1774.06,8955.218,15878176.60989,8349,ETHUSDT-1m-2023-03.zip,2023-03-24T12:37:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679661420000000000,1679661480000000000,1679661480000000000,1789.52000000,1789.52000000,1789.52000000,1789.52000000,0.00000000,0.00000000,0,ETHUSDT-1m-2023-03.zip,2023-03-24T12:37:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661480000000000,1679661540000000000,1679661540000000000,28004.10,28046.90,27966.80,27990.80,884.540,24775609.12860,7797,BTCUSDT-1m-2023-03.zip,2023-03-24T12:38:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679661480000000000,1679661540000000000,1679661540000000000,28080.00000000,28080.00000000,28080.00000000,28080.00000000,0.00000000,0.00000000,0,BTCUSDT-1m-2023-03.zip,2023-03-24T12:38:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661480000000000,1679661540000000000,1679661540000000000,1774.07,1777.52,1772.51,1773.26,6539.553,11606611.73426,6809,ETHUSDT-1m-2023-03.zip,2023-03-24T12:38:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
