available_at,economic_window,funding_rate,funding_time,interval_hours,interval_verified,settlement_mark_available_at,settlement_mark_close_time,settlement_mark_method,settlement_mark_price,settlement_mark_proxy_base,settlement_mark_source_file,settlement_mark_stress_bps,source_file,symbol
1743955260002000000,True,-0.00002372,1743955200002000000,8.000000555555555555555555556,True,,,exact,1759.59000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743984060000000000,True,0.00004946,1743984000000000000,7.999999444444444444444444444,True,,,exact,78392.35042912,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743984060000000000,True,-0.00003784,1743984000000000000,7.999999444444444444444444444,True,,,exact,1579.98000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744012860000000000,True,0.00006857,1744012800000000000,8,True,,,exact,75088.25410370,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744012860000000000,True,-0.00000965,1744012800000000000,8,True,,,exact,1459.71000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744041660000000000,True,0.00004998,1744041600000000000,8,True,,,exact,78465.57328148,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744041660000000000,True,-0.00003451,1744041600000000000,8,True,,,exact,1556.02875397,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744070460000000000,True,0.00004074,1744070400000000000,8,True,,,exact,79140.10000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744070460000000000,True,-0.00000438,1744070400000000000,8,True,,,exact,1552.44000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744099260000000000,True,0.00003575,1744099200000000000,8,True,,,exact,79455.76043704,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744099260000000000,True,0.00001155,1744099200000000000,8,True,,,exact,1569.98000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744128060000000000,True,0.00003134,1744128000000000000,8,True,,,exact,78462.82929630,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744128060000000000,True,-0.00001429,1744128000000000000,8,True,,,exact,1530.89000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744156860000000000,True,0.00009568,1744156800000000000,8,True,,,exact,76297.90000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744156860000000000,True,-0.00004820,1744156800000000000,8,True,,,exact,1472.68000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744185660001000000,True,-0.00002252,1744185600001000000,8.000000277777777777777777778,True,,,exact,77645.50000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744185660001000000,True,-0.00006596,1744185600001000000,8.000000277777777777777777778,True,,,exact,1482.90000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744214460000000000,True,0.00006856,1744214400000000000,7.999999722222222222222222222,True,,,exact,77224.48104444,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744214460000000000,True,0.00001591,1744214400000000000,7.999999722222222222222222222,True,,,exact,1484.58000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744243260000000000,True,0.00007705,1744243200000000000,8,True,,,exact,82588.00000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744243260000000000,True,0.00010000,1744243200000000000,8,True,,,exact,1668.69000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744272060000000000,True,0.00000114,1744272000000000000,8,True,,,exact,81561.50000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744272060000000000,True,0.00003042,1744272000000000000,8,True,,,exact,1595.02000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744300860000000000,True,0.00006775,1744300800000000000,8,True,,,exact,78726.30000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744300860000000000,True,-7.8E-7,1744300800000000000,8,True,,,exact,1494.94000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744329660001000000,True,0.00002065,1744329600001000000,8.000000277777777777777777778,True,,,exact,79576.11047407,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744329660001000000,True,-0.00000918,1744329600001000000,8.000000277777777777777777778,True,,,exact,1521.79074603,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744358460000000000,True,-0.00004294,1744358400000000000,7.999999722222222222222222222,True,,,exact,81213.70000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744358460000000000,True,-0.00005857,1744358400000000000,7.999999722222222222222222222,True,,,exact,1551.99000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744387260000000000,True,0.00003290,1744387200000000000,8,True,,,exact,82486.70000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744387260000000000,True,-0.00000461,1744387200000000000,8,True,,,exact,1564.80000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744416060000000000,True,0.00003654,1744416000000000000,8,True,,,exact,83385.70000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744416060000000000,True,0.00002511,1744416000000000000,8,True,,,exact,1565.96000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744444860001000000,True,0.00005640,1744444800001000000,8.000000277777777777777777778,True,,,exact,83685.40000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744444860001000000,True,-0.00000600,1744444800001000000,8.000000277777777777777777778,True,,,exact,1581.23000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744473660000000000,True,0.00005388,1744473600000000000,7.999999722222222222222222222,True,,,exact,84974.20000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1744473660000000000,True,0.00002416,1744473600000000000,7.999999722222222222222222222,True,,,exact,1655.20279146,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1744502460000000000,True,0.00005057,1744502400000000000,8,True,,,exact,85240.01637778,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
