scenario,strategy,run_id,period,symbol,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,spot_realized_pnl_usdt,spot_unrealized_pnl_usdt,futures_realized_pnl_usdt,futures_unrealized_pnl_usdt,net_pnl_usdt
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2022-2023,ETHUSDT,878.3547985599999999999999990,-832.2346740352899999999999988,131.4964383346179511412,-22.331563203,0,2.868396588641575761583322365,563.5075093523102857903011364,314.847289207689714209698863,-523.1785099999999999999999988,-309.0561640352900000000000000,155.2849996563279511412000006
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2024+,BTCUSDT,2124.293471910300000000000000,-2131.399408844070000000000000,288.6275765718343782170,-39.6825671913,0,5.315287749916943641894268780,2477.978068036668050946110195,-353.684596126368050946110195,-2486.320100000000000000000000,354.9206911559300000000000000,241.8390724467643782170000000
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2024+,ETHUSDT,-1206.946807570999999999999999,1204.492534035290000000000002,368.7314885975726074372,-47.865448314,0,6.492419519515713629837267590,-892.093046512731962450442395,-314.853761058268037549557604,895.436370000000000000000001,309.0561640352900000000000013,318.4117667478626074372000014
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2022,BTCUSDT,-217.88176000000,217.4610521874200000000000007,8.3824885092772402274,-1.58018090,0,0.63911509036830991924181154,0,-217.88176000000,0,217.4610521874200000000000007,6.38159979669724022740000074
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2022,ETHUSDT,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2023,BTCUSDT,2212.870040204000000000000000,-2172.851643343350000000000000,130.6382458680451034945,-14.2598477230,0,3.031684776981133067612867954,1641.316030000000000000000000,571.554010204000000000000000,-1600.469899999999999999999999,-572.3817433433500000000000008,156.3967950056951034945000003
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2023,ETHUSDT,878.3547985599999999999999990,-832.2346740352899999999999988,131.4964383346179511412,-22.331563203,0,2.868396588641575761583322365,563.5075093523102857903011364,314.847289207689714209698863,-523.1785099999999999999999988,-309.0561640352900000000000000,155.2849996563279511412000006
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2024,BTCUSDT,2124.394814550300000000000000,-2131.399408844070000000000000,288.6275765718343782170,-39.6825671913,0,5.315287749916943641894268780,2477.978068036668050946110195,-353.583253486368050946110195,-2486.320100000000000000000000,354.9206911559300000000000000,241.9404150867643782170000000
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2024,ETHUSDT,567.087192887000000000000001,-567.8552564392799999999999991,322.2384925907577225423,-36.756643896,0,4.985410840473360285890644364,745.565339491093400522290868,-178.478146604093400522290867,-743.541510000000000000000000,175.6862535607200000000000011,284.7137851424777225423000005
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2025,BTCUSDT,-0.040150651800000000000000,0E-24,0E-19,0E-10,0,0E-27,0E-24,-0.040150651800000000000000,0E-24,0E-11,-0.040150651800000000000000
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2025,ETHUSDT,-1773.996979700000000000000000,1772.347790474570000000000001,46.4929960068148848949,-11.108804418,0,1.507008679042353343946623226,-1637.658386003825362972733263,-136.338593696174637027266737,1638.977880000000000000000001,133.3699104745700000000000003,33.73500236338488489490000112
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2026,BTCUSDT,-0.061191988200000000000000,0E-24,0E-19,0E-10,0,0E-27,0E-24,-0.061191988200000000000000,0E-24,0E-11,-0.061191988200000000000000
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2026,ETHUSDT,-0.037020758000000000000000,0E-24,0E-19,0E-9,0,0E-27,0E-24,-0.037020758000000000000000,0E-24,0E-11,-0.037020758000000000000000
