scenario,strategy,run_id,period,observed_days,valid_days,coverage_complete,opportunity_mean,eligible_fraction,portfolio_cagr,source_run_id,provenance,h3_descriptive
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,2024+,974,974,True,0.0004019673830496416275283569873,0.06358373260323979009810631987,0.03679632152396364,run_edc965655c124abd4318e838,observado_en_corrida,not_used_for_H3_cagr
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,2022,365,365,True,0,0,0.011130260809843136,run_edc965655c124abd4318e838,observado_en_corrida,not_used_for_H3_cagr
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,2023,365,365,True,0.0002680829735457174417271600212,0.04990296803652968036529680364,0.05057265103332997,run_edc965655c124abd4318e838,observado_en_corrida,not_used_for_H3_cagr
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,2024,366,366,True,0.001069716478388937008777649469,0.1692091681845780206435944141,0.06549882902805874,run_edc965655c124abd4318e838,observado_en_corrida,not_used_for_H3_cagr
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,2025,365,365,True,0,0,0.027336952714790867,run_edc965655c124abd4318e838,observado_en_corrida,not_used_for_H3_cagr
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,2026,243,243,True,0,0,0.008811314399572404,run_edc965655c124abd4318e838,observado_en_corrida,not_used_for_H3_cagr
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,full,1704,1704,True,0.0003030842013201510739920328756,0.05186346667970787689097548253,0.03416423962066937,run_9a4b6b4c853215594e14bd86,observado_en_corrida,not_used_for_H3_cagr
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,2022-2023,730,730,True,0.0001407768147931241553653111204,0.02699628995433789954337899542,0.03066279579648122,run_9a4b6b4c853215594e14bd86,observado_en_corrida,not_used_for_H3_cagr
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,2024+,974,974,True,0.0004247314212018036926753048275,0.07050108373260323979009810633,0.03679632152396364,run_9a4b6b4c853215594e14bd86,observado_en_corrida,not_used_for_H3_cagr
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,2022,365,365,True,0,0,0.011130260809843136,run_9a4b6b4c853215594e14bd86,observado_en_corrida,not_used_for_H3_cagr
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,2023,365,365,True,0.0002815536295862483107306222408,0.05399257990867579908675799085,0.05057265103332997,run_9a4b6b4c853215594e14bd86,observado_en_corrida,not_used_for_H3_cagr
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,2024,366,366,True,0.001130296186476931138431002464,0.1876176381299332119004250152,0.06549882902805874,run_9a4b6b4c853215594e14bd86,observado_en_corrida,not_used_for_H3_cagr
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,2025,365,365,True,0,0,0.027336952714790867,run_9a4b6b4c853215594e14bd86,observado_en_corrida,not_used_for_H3_cagr
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,2026,243,243,True,0,0,0.008811314399572404,run_9a4b6b4c853215594e14bd86,observado_en_corrida,not_used_for_H3_cagr
