scenario,strategy,run_id,period,metric,value_before,value_after,unchanged
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,orders_submitted,150,150,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,failed_attempts,121,121,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,fills,30,30,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,partial_fills,1,1,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,openings,4,4,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,completed_openings,3,3,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,renewals,23,23,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,rebalances,10,10,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,corrections,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,close_requests,2,2,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,margin_close_requests,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,liquidation_fills,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,blocked_orders,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,turnover_usdt,35149.6756140,35149.6756140,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,maintenance_daily_mean_usdt,4.113869596876340335616438356,4.113869596876340335616438356,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,maintenance_daily_max_usdt,35.425191432213190,35.425191432213190,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,maintenance_ratio_daily_max,0.02321153030002510659919636475,0.02321153030002510659919636475,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,maintenance_reason,,,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,scenario,BASE_E3,BASE_E3,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,strategy,conditional,conditional,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,run_id,run_ad71d751b20623006c195ff3,run_ad71d751b20623006c195ff3,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,period,2024+,2024+,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,start_utc,2024-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,end_exclusive_utc,2026-09-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,days,974,974,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,coverage_complete,True,True,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,starting_equity_usdt,10217.44071106276812412970000,10217.44071106276812412970000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,final_equity_usdt,10785.76304964716593690000000,10785.76304964716593690000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,net_pnl_usdt,568.32233858439781277030000,568.32233858439781277030000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,net_return,0.055622768426642889470764155,0.055622768426642889470764155,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,cagr,0.020492334276123285,0.020492334276123285,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,cagr_reason,,,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,sharpe,6.181079222662197,6.181079222662197,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,sharpe_reason,,,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,annual_volatility,0.0032827820497003694,0.0032827820497003694,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,max_drawdown,-0.0020616558706701528492637308,-0.0020616558706701528492637308,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,max_drawdown_days,493,493,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,spot_pnl_usdt,925.614376714400000000000000,925.614376714400000000000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,futures_pnl_usdt,-920.1768916280200000000000013,-920.1768916280200000000000013,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,funding_usdt,650.0746270154178127703,650.0746270154178127703,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,fees_usdt,-87.1897735174,-87.1897735174,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,liquidation_fees_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,slippage_informational_usdt,11.75733580774897931656312986,11.75733580774897931656312986,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,spot_realized_pnl_usdt,1590.567204386400316102804061,1590.567204386400316102804061,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,spot_unrealized_pnl_usdt,-664.952827672000316102804061,-664.952827672000316102804061,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,futures_realized_pnl_usdt,-1580.595140000000000000000000,-1580.595140000000000000000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,futures_unrealized_pnl_usdt,660.4182483719800000000000000,660.4182483719800000000000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,reconciliation_residual_usdt,1.3E-24,1.3E-24,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,capital_deployed_usdt_daily_mean,2841.782893624725651580873451,2841.782893624725651580873451,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,capital_deployed_usdt_daily_max,10811.783139323008315565031983,10811.783139323008315565031983,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,capital_utilization_daily_mean,0.2684063607141262453973630015,0.2684063607141262453973630015,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,capital_utilization_daily_max,1.0274044222483662865705574630022333774275912665613,1.0274044222483662865705574630022333774275912665613,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,gross_exposure_usdt_daily_mean,3719.437226954995975359342916,3719.437226954995975359342916,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,gross_exposure_usdt_daily_max,14684.3520215261000000,14684.3520215261000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,collateral_usdt_daily_mean,981.6894253391979308416537153,981.6894253391979308416537153,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,collateral_usdt_daily_max,3544.742637206845047924596894,3544.742637206845047924596894,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,debt_usdt_daily_mean,0E-27,0E-27,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,debt_usdt_daily_max,0E-26,0E-26,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,orders_submitted,108,108,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,failed_attempts,2,2,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,fills,108,108,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,partial_fills,2,2,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,openings,6,6,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,completed_openings,6,6,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,renewals,77,77,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,rebalances,39,39,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,corrections,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,close_requests,96,96,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,margin_close_requests,5,5,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,liquidation_fills,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,blocked_orders,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,turnover_usdt,116245.1694274,116245.1694274,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,maintenance_daily_mean_usdt,10.26231227234318775154004107,10.26231227234318775154004107,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,maintenance_daily_max_usdt,39.136299750000000,39.136299750000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,maintenance_ratio_daily_max,0.03531794991078364508968137174,0.03531794991078364508968137174,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024+,maintenance_reason,,,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,scenario,BASE_E3,BASE_E3,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,strategy,conditional,conditional,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,run_id,run_ad71d751b20623006c195ff3,run_ad71d751b20623006c195ff3,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,period,2022,2022,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,start_utc,2022-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,end_exclusive_utc,2023-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,days,365,365,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,coverage_complete,True,True,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,starting_equity_usdt,10000,10000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,final_equity_usdt,10000,10000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,net_pnl_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,net_return,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,cagr,0.0,0.0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,cagr_reason,,,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,sharpe,,,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,sharpe_reason,zero sample volatility,zero sample volatility,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,annual_volatility,0.0,0.0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,max_drawdown,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,max_drawdown_days,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,spot_pnl_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,futures_pnl_usdt,0E-8,0E-8,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,funding_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,fees_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,liquidation_fees_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,slippage_informational_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,spot_realized_pnl_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,spot_unrealized_pnl_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,futures_realized_pnl_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,futures_unrealized_pnl_usdt,0E-8,0E-8,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,reconciliation_residual_usdt,0E-8,0E-8,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,capital_deployed_usdt_daily_mean,0E-8,0E-8,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,capital_deployed_usdt_daily_max,0E-8,0E-8,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,capital_utilization_daily_mean,0E-8,0E-8,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,capital_utilization_daily_max,0E-8,0E-8,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,gross_exposure_usdt_daily_mean,0E-8,0E-8,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,gross_exposure_usdt_daily_max,0E-8,0E-8,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,collateral_usdt_daily_mean,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,collateral_usdt_daily_max,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,debt_usdt_daily_mean,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,debt_usdt_daily_max,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,orders_submitted,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,failed_attempts,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,fills,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,partial_fills,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,openings,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,completed_openings,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,renewals,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,rebalances,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,corrections,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,close_requests,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,margin_close_requests,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,liquidation_fills,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,blocked_orders,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,turnover_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,maintenance_daily_mean_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,maintenance_daily_max_usdt,0,0,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,maintenance_ratio_daily_max,,,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,maintenance_reason,no defined active daily margin ratio,no defined active daily margin ratio,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,scenario,BASE_E3,BASE_E3,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,strategy,conditional,conditional,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,run_id,run_ad71d751b20623006c195ff3,run_ad71d751b20623006c195ff3,True
