date,strategy,equity_usdt,daily_return,net_pnl_usdt
2024-07-24,permanent,11113.45633765681528233239999,0.000129119697286581648310604,1.43478085965561900000000
2024-07-25,permanent,11115.64084467653331279439999,0.000196564142904494152869029,2.18450701971803046200000
2024-07-26,permanent,11115.79939948248829479439999,0.000014264117397326358721554,0.15855480595498200000000
2024-07-27,permanent,11116.70292880730791715739999,0.000081283342056504496109607,0.90352932481962236300000
2024-07-28,permanent,11119.41341180041601260439999,0.000243820763266442574712260,2.71048299310809544700000
2024-07-29,permanent,11121.04021697965766902839999,0.000146303147386823339159430,1.62680517924165642400000
2024-07-30,permanent,11122.73065851148150211679999,0.000152003904206987654860699,1.69044153182383308840000
2024-07-31,permanent,11122.66980445558210211679999,-0.0000054711435319017154328728,-0.06085405589940000000000
2024-08-01,permanent,11125.36338018450225736299999,0.000242169890527645387467444,2.69357572892015524620000
2024-08-02,permanent,11126.41027436350482924299999,0.000094099773933425467968124,1.04689417900257188000000
2024-08-03,permanent,11128.49109833100281188239999,0.000187016649232541250460735,2.08082396749798263940000
2024-08-04,permanent,11128.81701763639859474739999,0.000029286926908236702786998,0.32591930539578286500000
2024-08-05,permanent,11128.85009752781488625739999,0.000002972453528876261938746,0.03307989141629151000000
2024-08-06,permanent,11129.67541642950912778889999,0.000074160303576878938286121,0.82531890169424153150000
2024-08-07,permanent,11128.67221326515109861859999,-0.0000901376838786431516464606,-1.00320316435802917030000
2024-08-08,permanent,11127.94926290332709861859999,-0.0000649628588181668125671623,-0.72295036182400000000000
2024-08-09,permanent,11129.33497061810425908439999,0.000124524984976038945603890,1.38570771477716046580000
2024-08-10,permanent,11128.28433781790876020429999,-0.0000944021186323542320792193,-1.05063280019549888010000
2024-08-11,permanent,11127.57621662965892093049999,-0.0000636325570729163556899743,-0.70812118824983927380000
2024-08-12,permanent,11128.47008382591787117209999,0.000080329011354971101551412,0.89386719625895024160000
2024-08-13,permanent,11129.13510710489785805679999,0.000059758733587874720503138,0.66502327897998688470000
2024-08-14,permanent,11129.15638465827673669959999,0.000001911878432071054813874,0.02127755337887864280000
2024-08-15,permanent,11127.83747361033993733519999,-0.0001185095260009949825462214,-1.31891104793679936440000
2024-08-16,permanent,11127.70355604285555485089999,-0.0000120344647198494691617271,-0.13391756748438248430000
2024-08-17,permanent,11128.24036896780244725449999,0.000048241123808099494223494,0.53681292494689240360000
2024-08-18,permanent,11128.99807312576587743569999,0.000068088406867662840404582,0.75770415796343018120000
2024-08-19,permanent,11128.39710202748377267639999,-0.0000540004674574727409181638,-0.60097109828210475930000
2024-08-20,permanent,11127.88181842938364659619999,-0.0000463034876789440332168430,-0.51528359810012608020000
2024-08-21,permanent,11127.86389022926701245919999,-0.0000016111062652500893334679,-0.01792820011663413700000
2024-08-22,permanent,11127.03415900860617215359999,-0.0000745633869038764258865956,-0.82973122066084030560000
2024-08-23,permanent,11125.95058093767217215359999,-0.0000973824700678859405753580,-1.08357807093400000000000
2024-08-24,permanent,11128.20123408526584988399999,0.000202288616259878922110910,2.25065314759367773040000
2024-08-25,permanent,11127.32078423437175701079999,-0.0000791187930891569229566160,-0.88044985089409287320000
2024-08-26,permanent,11127.39986381184683958319999,0.000007106794079948305783000,0.07907957747508257240000
2024-08-27,permanent,11129.46131343087217618039999,0.000185258878467153253429526,2.06144961902533659720000
