count,diagnostic,scenario,scope,strategy,symbol,window
1090,filter_basis_negative:reject,vwap_joint,simultaneous_filter_states,permanent,BTCUSDT,late
1,filter_budget:not_evaluable,vwap_joint,simultaneous_filter_states,permanent,BTCUSDT,late
1095,filter_funding:diagnostic_fail_not_applied,vwap_joint,theoretical_not_applied,permanent,BTCUSDT,late
1,filter_sizing:reject,vwap_joint,simultaneous_filter_states,permanent,BTCUSDT,late
31,filter_state_active:reject,vwap_joint,simultaneous_filter_states,permanent,BTCUSDT,late
1063,ordered_reject:basis_negative,vwap_joint,sequential_first_rejection,permanent,BTCUSDT,late
31,ordered_reject:state_active,vwap_joint,sequential_first_rejection,permanent,BTCUSDT,late
1094,simultaneous_reject,vwap_joint,simultaneous_filter_states,permanent,BTCUSDT,late
1095,filter_basis_negative:reject,vwap_joint,simultaneous_filter_states,permanent,ETHUSDT,late
1095,filter_funding:diagnostic_fail_not_applied,vwap_joint,theoretical_not_applied,permanent,ETHUSDT,late
1095,ordered_reject:basis_negative,vwap_joint,sequential_first_rejection,permanent,ETHUSDT,late
1095,simultaneous_reject,vwap_joint,simultaneous_filter_states,permanent,ETHUSDT,late
1,renewal_outcome:HOLDING,vwap_joint,renewal_diagnostics,permanent,PORTFOLIO,late
1090,filter_basis_negative:reject,vwap_only,simultaneous_filter_states,conditional,BTCUSDT,late
1095,filter_funding:reject,vwap_only,simultaneous_filter_states,conditional,BTCUSDT,late
1095,ordered_reject:funding,vwap_only,sequential_first_rejection,conditional,BTCUSDT,late
1095,simultaneous_reject,vwap_only,simultaneous_filter_states,conditional,BTCUSDT,late
1095,filter_basis_negative:reject,vwap_only,simultaneous_filter_states,conditional,ETHUSDT,late
1095,filter_funding:reject,vwap_only,simultaneous_filter_states,conditional,ETHUSDT,late
1095,ordered_reject:funding,vwap_only,sequential_first_rejection,conditional,ETHUSDT,late
1095,simultaneous_reject,vwap_only,simultaneous_filter_states,conditional,ETHUSDT,late
1090,filter_basis_negative:reject,vwap_only,simultaneous_filter_states,permanent,BTCUSDT,late
6,filter_cooldown:reject,vwap_only,simultaneous_filter_states,permanent,BTCUSDT,late
1095,filter_funding:diagnostic_fail_not_applied,vwap_only,theoretical_not_applied,permanent,BTCUSDT,late
1087,ordered_reject:basis_negative,vwap_only,sequential_first_rejection,permanent,BTCUSDT,late
6,ordered_reject:cooldown,vwap_only,sequential_first_rejection,permanent,BTCUSDT,late
1093,simultaneous_reject,vwap_only,simultaneous_filter_states,permanent,BTCUSDT,late
1095,filter_basis_negative:reject,vwap_only,simultaneous_filter_states,permanent,ETHUSDT,late
1095,filter_funding:diagnostic_fail_not_applied,vwap_only,theoretical_not_applied,permanent,ETHUSDT,late
1095,ordered_reject:basis_negative,vwap_only,sequential_first_rejection,permanent,ETHUSDT,late
1095,simultaneous_reject,vwap_only,simultaneous_filter_states,permanent,ETHUSDT,late
